Country,Culture and informal institutions,"Formal institutions, regulation and taxation",Market conditions,Physical infra structure,Human capital,Knowledge creation and dissemination and dissemination,Finance,Networking and support
Austria,62.5,61.3,48.2,66.7,54.6,66.3,44.7,45.3
Belgium,63.4,51.4,69.3,55.3,53.6,61.7,54.2,56
Bulgaria,17,25.9,11.1,28.8,26.3,25,27.6,39.3
Croatia,25.7,31.6,42,30.8,35.7,21.8,30.6,35.6
Cyprus,34.1,45.4,29.1,42.5,31.2,31.7,47.5,39.4
Czech Republic,45.5,36.8,68.9,39.8,40.6,61.1,39.3,29.5
Denmark,100,83.9,93.7,98.1,87.4,81.9,68.2,72.5
Estonia,55.2,54.7,30,45.8,66.9,46.3,75.1,62.3
Finland,97.3,81.4,51.1,68.7,98.4,75.9,78.3,59.2
France,53.9,44.9,60.8,49,43.7,46.4,60.8,56.8
Germany,72.2,79.2,100,61.3,54.4,85.6,57.7,55.2
Greece,25.7,20.3,26.4,24.3,29,21.6,19.2,32.4
Hungary,25,30.5,27.6,33.6,34.5,34.8,33.4,31.1
Ireland,69.4,62.9,97.7,43.1,51.3,63,52,77.9
Italy,24.7,27.5,33.7,34.4,30.1,34.1,29.2,53.4
Latvia,32.9,29.6,20.6,43.2,34.2,25.8,51.3,35.7
Lithuania,32.1,35.7,47,48.2,42.9,31.6,51.1,47.3
Luxembourg,80.4,100,45.1,100,68.9,66,90.2,98.6
Malta,39.3,67.8,77.9,52.4,47.3,61.9,50.5,59.9
Netherlands,95.2,83.1,69.1,76.9,76.1,95.4,70.5,61.4
Poland,34.5,32,33.3,41,29,28.8,36.9,31.3
Portugal,29.4,40.2,30.6,52.6,45.1,35.8,35.2,42.2
Romania,16.7,24.7,7.7,32.4,26,21.5,20.6,35.1
Slovakia,35.7,29.4,33.5,19.8,34.4,37.1,37,21.9
Slovenia,36.4,36.5,40.6,36.7,43.6,47.6,32.5,42.5
Spain,36.8,36.4,42.4,48.5,58.9,34.6,47,58.1
Sweden,87.4,74.6,73.8,71.9,85.9,93.4,71.4,66.3
United Kingdom,80,80.6,97.4,63,78.3,71.8,96.4,62.5
