Country,EIDES 2018,EIDES 2019,EIDES 2020,EIDES 2021
Austria,54.3,53.9,54,54.4
Belgium,57.6,57.8,56.1,52.9
Bulgaria,23.9,24.9,26.9,29.3
Croatia,30.6,28.7,30.8,38.7
Cyprus,36.3,36.9,35.4,35.2
Czech Republic,42.3,43.9,42.8,43
Denmark,80.7,75.1,78.3,80.2
Estonia,51,52.4,53.2,58.4
Finland,72.4,69.5,69.6,78.2
France,49.6,51.8,55.3,59.8
Germany,63.8,67.8,64.7,67.3
Greece,24.3,25.5,27.5,30.5
Hungary,30.1,34,34.3,40.4
Ireland,61.3,59.1,61.1,62.3
Italy,32.6,34.6,36.2,36.7
Latvia,32.9,33.8,34.3,38.7
Lithuania,40.6,42.2,43.8,42.7
Luxembourg,74,66.8,63.7,65.6
Malta,54.3,48.5,46.9,45.7
Netherlands,62.2,72.2,70.4,66.3
Poland,32.9,35.2,37.9,40.8
Portugal,38.1,37.1,36.9,41.2
Romania,21.6,27.1,29.5,30.3
Slovakia,29.9,31.6,33.1,35.3
Slovenia,38.4,39.9,41.7,45.4
Spain,44.2,46.3,47.5,50.5
Sweden,75.6,76.2,74.5,77.2
United Kingdom,63.7,71.5,69.7,75.1
