Ai,TOPSIS,TOPSIS dir
Austria,6.465713341008428e-05,-1.0
Belgium,0.0011102112711101064,-1.0
Bulgaria,0.007537822671799921,-1.0
Croatia,0.017120781137473617,1.0
Cyprus,0.012188509962499428,-1.0
Czech Republic,0.0033715410702203075,-1.0
Denmark,0.0003142097474047034,1.0
Estonia,0.0017613300449009772,1.0
Finland,0.0017290141647561263,1.0
France,0.0035549485206290976,1.0
Germany,8.679153947188656e-05,1.0
Greece,0.0018282812421434036,-1.0
Hungary,0.009645193189506074,1.0
Ireland,0.00027751741339876457,1.0
Italy,0.0023095157663095556,-1.0
Latvia,0.0026389900118212184,1.0
Lithuania,0.000516456234022078,-1.0
Luxembourg,0.0021388801619813824,-1.0
Malta,0.009599341256715577,-1.0
Netherlands,0.0015850383903855958,-1.0
Poland,0.003260968724908442,1.0
Portugal,0.0019146563456170496,1.0
Romania,0.04361196462507744,1.0
Slovakia,6.065734399252065e-05,1.0
Slovenia,0.0015695740394496838,1.0
Spain,0.0014812675947247778,1.0
Sweden,0.00045386927129420496,1.0
United Kingdom,0.00017448559613952863,1.0
