,2018,2019,2020,2021
Austria,0.46809436145518696,0.4801830118919527,0.4650940423383791,0.46467646991483796
Belgium,0.49568676623426816,0.5275390509437421,0.4934761921399402,0.45098996971866456
Bulgaria,0.09759533399297542,0.11058004956983157,0.08189692084804494,0.07680030496258608
Croatia,0.18596026382280723,0.138088026925249,0.14597724448116947,0.23644989930667762
Cyprus,0.24400900923912552,0.2495351341704449,0.17084136188784482,0.16993587453474576
Czech Republic,0.3579718606551374,0.3828070908192275,0.33602388663302624,0.29331426957658513
Denmark,0.8058528364288741,0.7534693621969105,0.792057966073163,0.814137589105978
Estonia,0.4459724019386168,0.4503574357218514,0.4362748548984623,0.5188708834690222
Finland,0.6833152838797154,0.6706088992520237,0.680800473132175,0.7921213239157326
France,0.42307610082275254,0.4398215651113379,0.4824443093895936,0.5455604630532015
Germany,0.6330566512322915,0.659072299331136,0.6423126800245824,0.6533518647240456
Greece,0.10155325311046377,0.08337115454556197,0.0917378842908329,0.08948478914898682
Hungary,0.15892948446395344,0.2466501452165489,0.20856818589984016,0.2366978099828416
Ireland,0.569120741848505,0.5418211693028049,0.5515610736495932,0.582147582077882
Italy,0.20369445920416065,0.21758542401141875,0.23292337828687845,0.18744312028909174
Latvia,0.20987956452510523,0.21269189502354421,0.1777376257996642,0.22490382122774644
Lithuania,0.3014321678313,0.3138702010103817,0.3008416318934111,0.28220201196487305
Luxembourg,0.7165475650371158,0.6328147423037029,0.5798020566271176,0.6237022954178666
Malta,0.4856185959860807,0.405834315153099,0.3343111513675766,0.3273808581837006
Netherlands,0.7223687586028671,0.7490206578306413,0.7462163901706772,0.6340005687716801
Poland,0.19466610211873994,0.21381174788480536,0.24764420389116226,0.24062535774637606
Portugal,0.254219428160752,0.24149574039956154,0.21966810715799523,0.26817835064807594
Romania,0.08007364474884664,0.19142793780268255,0.1538698212834795,0.09390290000491508
Slovakia,0.17877409360237687,0.18238906538180677,0.17994835002603693,0.1849001230033658
Slovenia,0.2640305943885423,0.29697222187276096,0.2945148786663708,0.31805680333486835
Spain,0.3365925216932017,0.3636200907923059,0.3750312864608063,0.40254522929176006
Sweden,0.7258314415636138,0.7532984119299071,0.7308782836559423,0.793633353981172
United Kingdom,0.7244924911283939,0.7252481265894919,0.7123968565746156,0.7559590155821262
