,2018,2019,2020,2021
Austria,11,10,9,11
Belgium,9,9,10,12
Bulgaria,28,27,27,26
Croatia,21,26,26,21
Cyprus,19,20,24,23
Czech Republic,13,12,13,17
Denmark,1,1,1,1
Estonia,14,11,11,10
Finland,7,6,6,3
France,12,13,12,9
Germany,6,5,5,6
Greece,26,28,28,27
Hungary,25,18,19,18
Ireland,8,8,8,8
Italy,24,23,20,25
Latvia,22,24,23,20
Lithuania,16,16,15,16
Luxembourg,5,7,7,7
Malta,10,14,16,15
Netherlands,2,2,2,5
Poland,20,22,18,22
Portugal,17,19,21,19
Romania,27,21,25,28
Slovakia,23,25,22,24
Slovenia,18,17,17,14
Spain,15,15,14,13
Sweden,4,3,3,2
United Kingdom,3,4,4,4
