Country,DARIA-TOPSIS pref,DARIA-TOPSIS rank
Austria,0.4646118127814279,11
Belgium,0.44987975844755446,12
Bulgaria,0.06926248229078616,28
Croatia,0.2535706804441512,19
Cyprus,0.15774736457224633,25
Czech Republic,0.2899427285063648,16
Denmark,0.8144517988533827,1
Estonia,0.5206322135139232,10
Finland,0.7938503380804888,3
France,0.5491154115738306,9
Germany,0.6534386562635175,5
Greece,0.08765650790684341,27
Hungary,0.24634300317234767,20
Ireland,0.5824250994912807,8
Italy,0.18513360452278219,23
Latvia,0.22754281123956765,22
Lithuania,0.28168555573085097,17
Luxembourg,0.6215634152558852,7
Malta,0.31778151692698503,15
Netherlands,0.6324155303812945,6
Poland,0.2438863264712845,21
Portugal,0.270093006993693,18
Romania,0.13751486462999252,26
Slovakia,0.18496078034735833,24
Slovenia,0.31962637737431804,14
Spain,0.40402649688648484,13
Sweden,0.7940872232524662,2
United Kingdom,0.7561335011782657,4
