,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
Austria,11,11,11,12,12,12,12,12
Belgium,12,12,13,14,16,18,18,18
Bulgaria,28,28,28,28,28,28,28,28
Croatia,19,19,19,19,19,19,19,19
Cyprus,25,25,25,24,24,24,24,24
Czech Republic,16,15,14,13,13,13,13,13
Denmark,2,1,2,2,2,2,2,2
Estonia,10,10,10,10,10,10,10,10
Finland,1,4,4,7,9,9,9,9
France,9,9,9,9,8,7,7,7
Germany,5,5,5,5,5,5,5,5
Greece,27,27,27,27,27,27,27,27
Hungary,21,18,17,16,15,15,14,14
Ireland,8,8,8,8,7,8,8,8
Italy,23,24,23,23,22,22,22,22
Latvia,22,23,24,25,25,25,25,26
Lithuania,17,16,16,17,17,16,17,17
Luxembourg,7,7,6,4,4,4,4,4
Malta,14,17,21,22,23,23,23,23
Netherlands,6,6,7,6,6,6,6,6
Poland,20,21,20,21,21,21,21,21
Portugal,18,20,22,20,20,20,20,20
Romania,26,26,26,26,26,26,26,25
Slovakia,24,22,18,18,18,17,16,16
Slovenia,15,14,15,15,14,14,15,15
Spain,13,13,12,11,11,11,11,11
Sweden,3,2,1,1,1,1,1,1
United Kingdom,4,3,3,3,3,3,3,3
