,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
Austria,13,13,13,12,11,11,11,11
Belgium,11,11,11,11,12,12,12,12
Bulgaria,27,28,28,28,28,27,26,26
Croatia,16,16,18,19,19,20,19,19
Cyprus,28,27,27,26,25,24,23,23
Czech Republic,17,18,17,16,16,17,17,17
Denmark,4,4,3,3,1,1,1,1
Estonia,10,10,10,10,10,10,10,10
Finland,1,1,1,1,3,3,3,3
France,7,8,9,9,9,9,9,9
Germany,5,5,5,5,5,6,6,6
Greece,26,26,26,27,27,26,27,27
Hungary,21,21,21,21,20,18,18,18
Ireland,6,6,6,8,8,8,8,8
Italy,23,23,23,23,23,25,25,25
Latvia,22,22,22,22,22,22,21,20
Lithuania,20,20,19,18,17,16,15,15
Luxembourg,8,7,7,6,7,7,7,7
Malta,14,14,14,14,15,15,16,16
Netherlands,9,9,8,7,6,5,5,5
Poland,19,19,20,20,21,21,22,22
Portugal,15,15,16,17,18,19,20,21
Romania,24,25,25,25,26,28,28,28
Slovakia,25,24,24,24,24,23,24,24
Slovenia,18,17,15,15,14,14,14,14
Spain,12,12,12,13,13,13,13,13
Sweden,2,2,2,2,2,2,2,2
United Kingdom,3,3,4,4,4,4,4,4
