,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
Austria,11,11,11,11,11,12,13,13
Belgium,12,12,12,12,12,11,11,11
Bulgaria,26,26,26,27,28,28,28,28
Croatia,20,19,19,20,19,19,18,16
Cyprus,22,23,23,24,25,26,27,27
Czech Republic,16,17,17,17,16,16,17,18
Denmark,1,1,1,1,1,3,3,4
Estonia,10,10,10,10,10,10,10,10
Finland,3,3,3,3,3,1,1,1
France,9,9,9,9,9,9,9,8
Germany,6,6,6,6,5,5,5,5
Greece,27,27,27,26,27,27,26,26
Hungary,18,18,18,18,20,21,21,21
Ireland,8,8,8,8,8,8,6,6
Italy,25,25,25,25,23,23,23,23
Latvia,19,20,21,22,22,22,22,22
Lithuania,15,15,15,16,17,18,19,20
Luxembourg,7,7,7,7,7,6,7,7
Malta,17,16,16,15,15,14,14,14
Netherlands,5,5,5,5,6,7,8,9
Poland,23,22,22,21,21,20,20,19
Portugal,21,21,20,19,18,17,16,15
Romania,28,28,28,28,26,25,25,25
Slovakia,24,24,24,23,24,24,24,24
Slovenia,14,14,14,14,14,15,15,17
Spain,13,13,13,13,13,13,12,12
Sweden,2,2,2,2,2,2,2,2
United Kingdom,4,4,4,4,4,4,4,3
